Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001070/00170000  content_loss:0.0000  lap_loss:0.0689  rec_loss:0.0653  style_loss:0.8903  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001080/00170000  content_loss:0.0000  lap_loss:0.0685  rec_loss:0.0601  style_loss:1.3866  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001090/00170000  content_loss:0.0000  lap_loss:0.0376  rec_loss:0.0455  style_loss:0.8138  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001100/00170000  content_loss:0.0000  lap_loss:0.0317  rec_loss:0.0485  style_loss:0.6658  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001110/00170000  content_loss:0.0000  lap_loss:0.0545  rec_loss:0.0536  style_loss:0.5983  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001120/00170000  content_loss:0.0000  lap_loss:0.0320  rec_loss:0.0392  style_loss:0.6124  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001130/00170000  content_loss:0.0000  lap_loss:0.0569  rec_loss:0.0342  style_loss:1.0184  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001140/00170000  content_loss:0.0000  lap_loss:0.0456  rec_loss:0.0641  style_loss:0.5656  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001150/00170000  content_loss:0.0000  lap_loss:0.0867  rec_loss:0.0466  style_loss:0.8716  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001160/00170000  content_loss:0.0000  lap_loss:0.0718  rec_loss:0.0509  style_loss:1.2518  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001170/00170000  content_loss:0.0000  lap_loss:0.0214  rec_loss:0.0314  style_loss:0.7326  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001180/00170000  content_loss:0.0000  lap_loss:0.0415  rec_loss:0.0404  style_loss:0.7696  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001190/00170000  content_loss:0.0000  lap_loss:0.0528  rec_loss:0.0510  style_loss:0.8435  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001200/00170000  content_loss:0.0000  lap_loss:0.0539  rec_loss:0.0507  style_loss:0.8802  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001210/00170000  content_loss:0.0000  lap_loss:0.0831  rec_loss:0.0436  style_loss:0.7408  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001220/00170000  content_loss:0.0000  lap_loss:0.0602  rec_loss:0.0621  style_loss:1.1134  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001230/00170000  content_loss:0.0000  lap_loss:0.0431  rec_loss:0.0664  style_loss:0.6375  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001240/00170000  content_loss:0.0000  lap_loss:0.0321  rec_loss:0.0430  style_loss:0.8524  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
